id,name,followers,popularity,genre
7o4SQie2eJJYTOFiN1PXQh,the soviettes,7733,17,rock
7BLOa6FxCbMnowidkQfLIA,gerald levert,1054207,49,r&b
5tQMB0cuNXdCtzovGt55uD,lucki,1834328,78,hip-hop
7G6hXrjGpi6I7waNl4wxAk,j. holiday,1717222,52,r&b
5bmqhxWk9SEFDGIzWpSjVJ,the driver era,753372,54,rock
2aYJ5LAta2ScCdfLhKgZOY,cobra starship,528104,59,electronic
1fBCIkoPOPCDLUxGuWNvyo,poison,3605452,63,rock
4kwxTgCKMipBKhSnEstNKj,animal collective,566445,49,rock
1l7aiSjBGkQiyTuQYTigAP,nellee hooper,2437,41,rock
3qf2YoifC68WTsMv1YIGmh,hank williams iii,291761,48,country
0rG0AZBscc8S8q1ahIsasI,juvenile,1144374,61,hip-hop
7rvkQK7ZqO34sKsWEXjz3R,tim reynolds,41155,47,rock
16JXnESerYvanRg1CGhkLz,teodasia,2373,1,rock
30uiS1n3uIGXJEYFR1GVDy,the brian jonestown massacre,414396,54,rock
72PnPUc1qv9UjRPaGVZ1jq,the handsome family,166792,56,country
2gBjLmx6zQnFGQJCAQpRgw,nelly,3880597,76,hip-hop
4UxLFBvSr4xMDpHe1lrLrH,ross lynch,1036486,49,rock
4LSixDzXl43EzlPU2EydWs,edan,30887,28,hip-hop
3jksrX4oBklxR78ft8gv3j,plies,2028834,65,hip-hop
3d1zFz2gPJbDaQDTsyNmbZ,velvet crush,12001,16,pop
4bwIf0yXJf0F9AmOl2J78M,camellia,259982,55,electronic
4i7hi30rbTMZB9A1ftDnK7,sugarplum fairies,602,3,folk
3AuMNF8rQAKOzjYppFNAoB,kelly rowland,3801812,71,electronic
13vQloYd6mP7V1mVwKJwS2,dave matthews,430581,54,rock
6qojFeNZnpVQxdL2IFSDEy,leslie hall,10325,29,hip-hop
3risOBDAx6GGVaCcBuhswz,jasmine sokko,39755,30,r&b
2kfVqdz3lJshqH9GUHhtMr,psychostick,203174,47,pop
7tFehEdzjjoeiwUExR89qs,kankan,432834,55,hip-hop
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,9100990,85,hip-hop
2TI7qyDE0QfyOlnbtfDo7L,dave matthews band,2129141,63,rock
5M0lbkGluOPXLeFjApw8r8,dram,893338,59,hip-hop
2tjnvrUmP46XNjFh9V0NGc,alpha wolf,210251,50,rock
6hhA8TKRNryM8FNzqCqdDO,tricky,566810,56,electronic
6kBDZFXuLrZgHnvmPu9NsG,aphex twin,1849812,67,electronic
53XhwfbYqKCa1cC15pYq2q,imagine dragons,58735579,87,electronic
1gPhS1zisyXr5dHTYZyiMe,kevin gates,6914245,76,hip-hop
4lxaJNUlMRY9VGSmKwvMzA,malcom mcdowell,537,13,electronic
0fwLrL7wiKgtqRMHbtxYDz,web sheldon,202,0,blues
4c6lhwoOrmgNWvl0GxHlW1,tedashii,262122,49,hip-hop
5Q45hW4q5wKLjtnJlSgeq0,dre murray,13813,24,hip-hop
69GGBxA162lTqCwzJG5jLp,the chainsmokers,21483609,82,electronic
0VZrPa7mWAYXH4CwmYk8Km,kidd keo,3005941,69,hip-hop
5fHk07xqQp5IMnsLzLZK1H,press play,21409,25,electronic
6X8WdFjrNhXATMDSs26aCc,curren$y,1066968,61,hip-hop
7IeovKzVkfcG9mIJGNzTcT,ran-d,278820,59,electronic
4mQm8gcXNNyzNQRqYKTKqo,h2o,105420,37,rock
2WWTUZ3LpcAAPhSEz3H0rg,alex g,75725,40,folk
4iHNK0tOyZPYnBU7nGAgpQ,mariah carey,12195308,87,pop
3nkUcLzl9v6cIxFI6cvTeD,imagination movers,26129,32,folk
1Xq1gv1FyECCWgSyTP0dN3,jgivens,23930,22,hip-hop
360IAlyVv4PCEVjgyMZrxK,miguel,6250250,81,r&b
4mwXUEKaW4ftbncf9Hi58l,tank,825807,58,r&b
3f3AL10W7ss3hzfqSDXqXv,scky rei,268,0,rock
5A0SFJQSdSjFHGcndiGT1s,planetshakers,1309379,60,pop
4IDpDJIDfK96HMLD4Tphyl,ajj,270155,50,folk
5lesbEwQ2NN151pbqCjOZ8,miss cherry delight,12541,28,rock
6f0db1foO8Zs4SHp0bVUlg,he3b,17979,39,r&b
7u160I5qtBYZTQMLEIJmyz,borgore,551590,48,electronic
1CjHv5B8vgIycRLbipxVBv,sadboymusic,129,0,r&b
2gfVNtWpcTdOvYk5LgexYV,daddex,17113,32,hip-hop
1z4g3DjTBBZKhvAroFlhOM,red velvet,9644994,69,pop
0DxeaLnv6SyYk2DOqkLO8c,magic!,1661041,68,electronic
2OaHYHb2XcFPvqL3VsyPzU,rico nasty,1153442,63,hip-hop
3qNVuliS40BLgXGxhdBdqu,taeyeon,3161759,67,pop
1Kvu06TxgDMSFkoYQEj6Rv,johnnascus,30105,44,hip-hop
36qOXUtUq5HjaP1wet4ePl,capture,67297,31,rock
5Ylv2igmtWCozhTDCds605,infntlp,38,0,rock
2wcrc3fjebDRLVdtRUa3pu,cal scruby,217503,56,hip-hop
7yWBWSzhjWlUVeW5ZrkuVk,jovana k,43,6,electronic
6xrCU6zdcSTsG2hLrojpmI,josé gonzález,1239593,65,folk
2RhGXxsDpB0eB122Ce3WYB,john givez,33425,35,hip-hop
0bsKkli3Cgh9q3UCgLKw6k,bxth,316,0,rock
6d47Z08T4snK50HgTEHo5Z,sage the gemini,927716,64,hip-hop
1w9VjfHGE5qPLJQy3dKups,gord bamford,63418,39,country
6UOk7DmvqlzWmo6gjhZvn6,da tweekaz,331195,61,electronic
4x1nvY2FN8jxqAFA0DA02H,john lennon,6695915,77,pop
7vtukebvL7Is8L5JvgTLDR,siya,33508,31,hip-hop
1Ok5WQlGEnuFOiUlpCKcVT,wasted penguinz,100643,46,electronic
0zanHkxN0P38oWegA8iSQA,etta bond,76224,39,r&b
7gSjFKpVmDgC2MMsnN8CYq,jazmine sullivan,2201536,63,r&b
5tth2a3v0sWwV1C7bApBdX,lil' kim,1939659,66,hip-hop
2qx5TM5UVg3th3ZQ9Vkj2X,imperial,7950,29,electronic
2vjeuQwzSP5ErC1S41gONX,chanmina,1338565,70,pop
56BHYURgbka2nQbBy8XZ3x,skinny fabulous,63148,42,folk
7bXgB6jMjp9ATFy66eO08Z,chris brown,29087036,90,r&b
1qHkWv9sHlhqmNdPbMU5tN,eazy mac,140888,50,hip-hop
5yjbUO1Jocui7RKE30zfLT,riverside,235654,44,rock
5s1QeAf7U5ELP9PTeLaicb,homeboy sandman,54676,41,hip-hop
5YGY8feqx7naU7z4HrwZM6,miley cyrus,26810483,83,pop
15UsOTVnJzReFVN1VCnxy4,xxxtentacion,52252497,85,hip-hop
78ZdtwvDD5zTElro6EGkcU,swoope,76986,36,hip-hop
4KWTAlx2RvbpseOGMEmROg,r.e.m.,5446183,74,rock
7FBcuc1gsnv6Y1nwFtNRCb,my chemical romance,10475736,80,rock
08ZqXO40nMrhBoGma4kls2,syko,238038,57,electronic
6BbGkI3sJbPytzt3y2PACe,the machine,5003,24,electronic
5iyRxmCnWx31s0T3f8xano,cop shoot cop,14923,18,rock
4WcJL1x8azi1Qkv4jc6fhH,devvon terrell,173290,42,hip-hop
3N6WAAPHoIjo6na008793X,paul westerberg,58406,36,pop
1yxSLGMDHlW21z4YXirZDS,black eyed peas,9784941,83,hip-hop
3Mcii5XWf6E0lrY3Uky4cA,ice cube,11274612,74,hip-hop
5I6ni4YWY0WJUs6rFqufxT,the main squeeze,125365,40,r&b
540R9ampm8wv8ddRgCuzmu,everyone everywhere,24677,28,rock
2P5sC9cVZDToPxyomzF1UH,joey bada$$,3840993,71,hip-hop
07D1Bjaof0NFlU32KXiqUP,lucy dacus,628821,67,electronic
